Vulnerability ID,Summary Text,Base Score,Exploitability Score,Impact Score,CWE ID,Bugzilla Links
CVE-2014-1541,"Use-after-free vulnerability in the RefreshDriverTimer::TickDriver function in the SMIL Animation Controller in Mozilla Firefox before 30.0, Firefox ESR 24.x before 24.6, and Thunderbird before 24.6 allows remote attackers to execute arbitrary code or cause a denial of service (heap memory corruption) via crafted web content.",10.0,10.0,10.0,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1000185
CVE-2014-1561,"Mozilla Firefox before 31.0 does not properly restrict use of drag-and-drop events to spoof customization events, which allows remote attackers to alter the placement of UI icons via crafted JavaScript code that is encountered during (1) page, (2) panel, or (3) toolbar customization.",5.8,8.6,4.9,CWE-264,"https://bugzilla.mozilla.org/show_bug.cgi?id=1000514
https://bugzilla.mozilla.org/show_bug.cgi?id=910375"
CVE-2014-1577,"The mozilla::dom::OscillatorNodeEngine::ComputeCustom function in the Web Audio subsystem in Mozilla Firefox before 33.0, Firefox ESR 31.x before 31.2, and Thunderbird 31.x before 31.2 allows remote attackers to obtain sensitive information from process memory or cause a denial of service (out-of-bounds read, memory corruption, and application crash) via an invalid custom waveform that triggers a calculation of a negative frequency value.",6.4,10.0,4.9,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1012609
CVE-2014-1583,"The Alarm API in Mozilla Firefox before 33.0 and Firefox ESR 31.x before 31.2 does not properly restrict toJSON calls, which allows remote attackers to bypass the Same Origin Policy via crafted API calls that access sensitive information within the JSON data of an alarm.",5.0,10.0,2.9,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1015540
CVE-2014-1558,"Mozilla Firefox before 31.0 and Thunderbird before 31.0 allow remote attackers to cause a denial of service (X.509 certificate parsing outage) via a crafted certificate that does not use UTF-8 character encoding in a required context, a different vulnerability than CVE-2014-1559.",4.3,8.6,2.9,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1015973
CVE-2017-5381,"The ""export"" function in the Certificate Viewer can force local filesystem navigation when the ""common name"" in a certificate contains slashes, allowing certificate content to be saved in unsafe locations with an arbitrary filename. This vulnerability affects Firefox < 51.","5.0
7.5","10.0
3.9","2.9
3.6",CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),https://bugzilla.mozilla.org/show_bug.cgi?id=1017616
CVE-2014-1551,"Use-after-free vulnerability in the FontTableRec destructor in Mozilla Firefox before 31.0, Firefox ESR 24.x before 24.7, and Thunderbird before 24.7 on Windows allows remote attackers to execute arbitrary code via crafted use of fonts in MathML content, leading to improper handling of a DirectWrite font-face object.",10.0,10.0,10.0,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1018234
CVE-2014-1563,"Use-after-free vulnerability in the mozilla::DOMSVGLength::GetTearOff function in Mozilla Firefox before 32.0, Firefox ESR 31.x before 31.1, and Thunderbird 31.x before 31.1 allows remote attackers to execute arbitrary code or cause a denial of service (heap memory corruption) via an SVG animation with DOM interaction that triggers incorrect cycle collection.",10.0,10.0,10.0,CWE-416 Use After Free,https://bugzilla.mozilla.org/show_bug.cgi?id=1018524
CVE-2014-1549,"The mozilla::dom::AudioBufferSourceNodeEngine::CopyFromInputBuffer function in Mozilla Firefox before 31.0 and Thunderbird before 31.0 does not properly allocate Web Audio buffer memory, which allows remote attackers to execute arbitrary code or cause a denial of service (buffer overflow and application crash) via crafted audio content that is improperly handled during playback buffering.",9.3,8.6,10.0,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,https://bugzilla.mozilla.org/show_bug.cgi?id=1020205
CVE-2014-1550,Use-after-free vulnerability in the MediaInputPort class in Mozilla Firefox before 31.0 and Thunderbird before 31.0 allows remote attackers to execute arbitrary code or cause a denial of service (heap memory corruption) by leveraging incorrect Web Audio control-message ordering.,10.0,10.0,10.0,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1020411
